variant,entry_mode,return,max_drawdown,trade_count,gross_closed_pnl,net_closed_pnl,profit_factor,avg_winner,avg_loser,expectancy_per_trade,avg_R_realized,remove_best_trade_net,mfe_capture_ratio,body_frac_min,close_near_high_max,breakout_buffer_atr,exit_profile,winner_loser_ratio,return_over_dd
QX_B0.50_C0.20_BUF0.05_RUNNER,chase,0.014027532424615963,-0.009083656908083881,19,152.01537484360682,143.54833963860682,2.3074343071946353,50.66845221977789,-7.84242296144876,7.5551757704529905,1.2664091641643214,62.99284650142396,-2.891652978733613,0.5,0.2,0.05,RUNNER,6.460816060144978,1.5442604852383124
QX_B0.50_C0.30_BUF0.10_P33_2R,chase,0.007898558155155389,-0.006541368190017716,22,52.87127720233087,45.993042173276734,1.7773562347721414,35.053006848172096,-3.113998861644187,2.0905928260580335,0.2851514397267316,-7.814548323887099,-2.0746340189361727,0.5,0.3,0.1,P33_2R,11.256589486890228,1.2074779963018711
QX_B0.50_C0.30_BUF0.15_P33_2R,chase,0.007898558155155389,-0.006541368190017716,22,52.87127720233087,45.993042173276734,1.7773562347721414,35.053006848172096,-3.113998861644187,2.0905928260580335,0.2851514397267316,-7.814548323887099,-2.0746340189361727,0.5,0.3,0.15,P33_2R,11.256589486890228,1.2074779963018711
QX_B0.55_C0.30_BUF0.10_P33_2R,chase,0.007898558155155389,-0.006541368190017716,22,52.87127720233087,45.993042173276734,1.7773562347721414,35.053006848172096,-3.113998861644187,2.0905928260580335,0.2851514397267316,-7.814548323887099,-2.0746340189361727,0.55,0.3,0.1,P33_2R,11.256589486890228,1.2074779963018711
QX_B0.55_C0.30_BUF0.15_P33_2R,chase,0.007898558155155389,-0.006541368190017716,22,52.87127720233087,45.993042173276734,1.7773562347721414,35.053006848172096,-3.113998861644187,2.0905928260580335,0.2851514397267316,-7.814548323887099,-2.0746340189361727,0.55,0.3,0.15,P33_2R,11.256589486890228,1.2074779963018711
QX_B0.60_C0.30_BUF0.10_P33_2R,chase,0.0077104404335035515,-0.006580910935681916,21,52.54817551668539,45.87343647941067,1.7737705076673256,35.053006848172096,-3.2936435591725344,2.1844493561624128,0.3035437288300593,-7.934154017753173,-2.6049587727809,0.6,0.3,0.1,P33_2R,10.642623046003953,1.1716372564316726
QX_B0.60_C0.30_BUF0.15_P33_2R,chase,0.0077104404335035515,-0.006580910935681916,21,52.54817551668539,45.87343647941067,1.7737705076673256,35.053006848172096,-3.2936435591725344,2.1844493561624128,0.3035437288300593,-7.934154017753173,-2.6049587727809,0.6,0.3,0.15,P33_2R,10.642623046003953,1.1716372564316726
QX_B0.50_C0.30_BUF0.05_P33_2R,chase,0.005554701396946582,-0.0065565434049690285,23,29.98477657993197,22.808373945877833,1.276966543529908,35.053006848172096,-4.1175323299319215,0.991668432429471,0.22821449437470548,-30.999216551286,-2.1347187617556016,0.5,0.3,0.05,P33_2R,8.513110290199386,0.8471996681569778
QX_B0.55_C0.30_BUF0.05_P33_2R,chase,0.005554701396946582,-0.0065565434049690285,23,29.98477657993197,22.808373945877833,1.276966543529908,35.053006848172096,-4.1175323299319215,0.991668432429471,0.22821449437470548,-30.999216551286,-2.1347187617556016,0.55,0.3,0.05,P33_2R,8.513110290199386,0.8471996681569778
QX_B0.60_C0.30_BUF0.05_P33_2R,chase,0.005366583675294745,-0.0065961778852133834,22,29.661674894286488,22.68876825201176,1.2751145730892095,35.053006848172096,-4.340539594342343,1.0313076478187162,0.2431827273664262,-31.118822245152064,-2.6436689696446334,0.6,0.3,0.05,P33_2R,8.075725629564992,0.8135898953430268
QX_B0.50_C0.25_BUF0.10_P33_2R,chase,0.00487538542775745,-0.00568816569297137,22,22.441363440150994,16.16547925603465,1.3154770214887248,33.70343171479807,-2.562069208678074,0.7347945116379386,0.09002051186880185,-37.64211124112918,-2.026043779594283,0.5,0.25,0.1,P33_2R,13.154770214887249,0.8571103042553352
QX_B0.50_C0.25_BUF0.15_P33_2R,chase,0.00487538542775745,-0.00568816569297137,22,22.441363440150994,16.16547925603465,1.3154770214887248,33.70343171479807,-2.562069208678074,0.7347945116379386,0.09002051186880185,-37.64211124112918,-2.026043779594283,0.5,0.25,0.15,P33_2R,13.154770214887249,0.8571103042553352
QX_B0.55_C0.25_BUF0.10_P33_2R,chase,0.00487538542775745,-0.00568816569297137,22,22.441363440150994,16.16547925603465,1.3154770214887248,33.70343171479807,-2.562069208678074,0.7347945116379386,0.09002051186880185,-37.64211124112918,-2.026043779594283,0.55,0.25,0.1,P33_2R,13.154770214887249,0.8571103042553352
QX_B0.55_C0.25_BUF0.15_P33_2R,chase,0.00487538542775745,-0.00568816569297137,22,22.441363440150994,16.16547925603465,1.3154770214887248,33.70343171479807,-2.562069208678074,0.7347945116379386,0.09002051186880185,-37.64211124112918,-2.026043779594283,0.55,0.25,0.15,P33_2R,13.154770214887249,0.8571103042553352
QX_B0.60_C0.25_BUF0.10_P33_2R,chase,0.004687267706105613,-0.005727861684529767,21,22.1182617545055,16.04587356216858,1.3124136353988898,33.70343171479807,-2.703209993022503,0.7640892172461229,0.09912085202651381,-37.76171693499524,-2.554054712517968,0.6,0.25,0.1,P33_2R,12.467929536289454,0.8183276699514818
QX_B0.60_C0.25_BUF0.15_P33_2R,chase,0.004687267706105613,-0.005727861684529767,21,22.1182617545055,16.04587356216858,1.3124136353988898,33.70343171479807,-2.703209993022503,0.7640892172461229,0.09912085202651381,-37.76171693499524,-2.554054712517968,0.6,0.25,0.15,P33_2R,12.467929536289454,0.8183276699514818
QX_B0.50_C0.30_BUF0.10_P25_1p5R,chase,0.0032005433870010425,-0.006995826245854375,22,19.212034340577326,12.493346962371184,1.2772358842200124,28.77865377933586,-2.253198029815027,0.5678794073805083,0.19069374266228534,-29.806147685676233,-1.978353108658365,0.5,0.3,0.1,P25_1p5R,12.772358842200124,0.45749326448718447
QX_B0.50_C0.30_BUF0.15_P25_1p5R,chase,0.0032005433870010425,-0.006995826245854375,22,19.212034340577326,12.493346962371184,1.2772358842200124,28.77865377933586,-2.253198029815027,0.5678794073805083,0.19069374266228534,-29.806147685676233,-1.978353108658365,0.5,0.3,0.15,P25_1p5R,12.772358842200124,0.45749326448718447
QX_B0.55_C0.30_BUF0.10_P25_1p5R,chase,0.0032005433870010425,-0.006995826245854375,22,19.212034340577326,12.493346962371184,1.2772358842200124,28.77865377933586,-2.253198029815027,0.5678794073805083,0.19069374266228534,-29.806147685676233,-1.978353108658365,0.55,0.3,0.1,P25_1p5R,12.772358842200124,0.45749326448718447
