variant,entry_mode,return,max_drawdown,trade_count,gross_closed_pnl,net_closed_pnl,profit_factor,avg_winner,avg_loser,expectancy_per_trade,avg_R_realized,remove_best_trade_net,mfe_capture_ratio,take_R,breakout_lookback,stop_atr,range_expand_mult,winner_loser_ratio,return_over_dd
XP_TK20_BL24_ST2.2_RE1.2,chase,0.019348313928971184,-0.012033916545568957,13,207.84831034991828,195.82796201491826,4.264351942996126,51.16356109230219,-7.498730430824086,15.063689385762943,2.4869906692069246,79.56917406002191,-21.145621098527332,20.0,24,2.2,1.2,6.822963108793802,1.607815199291496
XP_TK20_BL24_ST2.2_RE1.3,chase,0.019348313928971184,-0.012033916545568957,13,207.84831034991828,195.82796201491826,4.264351942996126,51.16356109230219,-7.498730430824086,15.063689385762943,2.4869906692069246,79.56917406002191,-21.145621098527332,20.0,24,2.2,1.3,6.822963108793802,1.607815199291496
XP_TK18_BL18_ST2.4_RE1.2,chase,0.018622181017687867,-0.012033916545568957,13,200.54934300341174,188.56298341841173,3.8950691432960163,50.739089253302566,-8.14155785601264,14.504844878339364,2.203242070787147,74.42655465851347,-23.017987618377582,18.0,18,2.4,1.2,6.232110629273627,1.547474668547938
XP_TK18_BL18_ST2.4_RE1.3,chase,0.018622181017687867,-0.012033916545568957,13,200.54934300341174,188.56298341841173,3.8950691432960163,50.739089253302566,-8.14155785601264,14.504844878339364,2.203242070787147,74.42655465851347,-23.017987618377582,18.0,18,2.4,1.3,6.232110629273627,1.547474668547938
XP_TK18_BL21_ST2.4_RE1.2,chase,0.018622181017687867,-0.012033916545568957,13,200.54934300341174,188.56298341841173,3.8950691432960163,50.739089253302566,-8.14155785601264,14.504844878339364,2.203242070787147,74.42655465851347,-23.017987618377582,18.0,21,2.4,1.2,6.232110629273627,1.547474668547938
XP_TK18_BL21_ST2.4_RE1.3,chase,0.018622181017687867,-0.012033916545568957,13,200.54934300341174,188.56298341841173,3.8950691432960163,50.739089253302566,-8.14155785601264,14.504844878339364,2.203242070787147,74.42655465851347,-23.017987618377582,18.0,21,2.4,1.3,6.232110629273627,1.547474668547938
XP_TK18_BL24_ST2.4_RE1.2,chase,0.018622181017687867,-0.012033916545568957,13,200.54934300341174,188.56298341841173,3.8950691432960163,50.739089253302566,-8.14155785601264,14.504844878339364,2.203242070787147,74.42655465851347,-23.017987618377582,18.0,24,2.4,1.2,6.232110629273627,1.547474668547938
XP_TK18_BL24_ST2.4_RE1.3,chase,0.018622181017687867,-0.012033916545568957,13,200.54934300341174,188.56298341841173,3.8950691432960163,50.739089253302566,-8.14155785601264,14.504844878339364,2.203242070787147,74.42655465851347,-23.017987618377582,18.0,24,2.4,1.3,6.232110629273627,1.547474668547938
XP_TK20_BL18_ST2.0_RE1.2,chase,0.018486360496801524,-0.012033916545568957,14,199.22520195903178,187.11693388903174,4.226299085447316,49.022865247304075,-6.444154705276515,13.365495277787982,2.3767313864664956,81.56162515912595,-17.849583709894084,20.0,18,2.0,1.2,7.607338353805169,1.5361881916663649
XP_TK20_BL18_ST2.0_RE1.3,chase,0.018486360496801524,-0.012033916545568957,14,199.22520195903178,187.11693388903174,4.226299085447316,49.022865247304075,-6.444154705276515,13.365495277787982,2.3767313864664956,81.56162515912595,-17.849583709894084,20.0,18,2.0,1.3,7.607338353805169,1.5361881916663649
XP_TK20_BL21_ST2.0_RE1.2,chase,0.018486360496801524,-0.012033916545568957,14,199.22520195903178,187.11693388903174,4.226299085447316,49.022865247304075,-6.444154705276515,13.365495277787982,2.3767313864664956,81.56162515912595,-17.849583709894084,20.0,21,2.0,1.2,7.607338353805169,1.5361881916663649
XP_TK20_BL21_ST2.0_RE1.3,chase,0.018486360496801524,-0.012033916545568957,14,199.22520195903178,187.11693388903174,4.226299085447316,49.022865247304075,-6.444154705276515,13.365495277787982,2.3767313864664956,81.56162515912595,-17.849583709894084,20.0,21,2.0,1.3,7.607338353805169,1.5361881916663649
XP_TK20_BL24_ST2.0_RE1.2,chase,0.018486360496801524,-0.012033916545568957,14,199.22520195903178,187.11693388903174,4.226299085447316,49.022865247304075,-6.444154705276515,13.365495277787982,2.3767313864664956,81.56162515912595,-17.849583709894084,20.0,24,2.0,1.2,7.607338353805169,1.5361881916663649
XP_TK20_BL24_ST2.0_RE1.3,chase,0.018486360496801524,-0.012033916545568957,14,199.22520195903178,187.11693388903174,4.226299085447316,49.022865247304075,-6.444154705276515,13.365495277787982,2.3767313864664956,81.56162515912595,-17.849583709894084,20.0,24,2.0,1.3,7.607338353805169,1.5361881916663649
XP_TK18_BL18_ST2.2_RE1.2,chase,0.01817042488151932,-0.012033916545568957,13,195.95336440242863,184.0431240674286,4.067904723426677,48.80659350280426,-7.498730430824086,14.1571633898022,2.334644834772261,79.56917406002191,-21.15130496022688,18.0,18,2.2,1.2,6.508647557482684,1.5099344268105221
