variant,entry_mode,return,max_drawdown,trade_count,gross_closed_pnl,net_closed_pnl,profit_factor,avg_winner,avg_loser,expectancy_per_trade,avg_R_realized,remove_best_trade_net,mfe_capture_ratio,squeeze_bw_q,range_expand_mult,require_volume,volume_mult,winner_loser_ratio,return_over_dd
SS_BW0.15_RE1.30_VOL_1.4,chase,0.011676901555418118,-0.006332604704957223,11,126.51591780311333,118.50915153311328,3.69328838030961,54.17026951359279,-5.500207125958136,10.773559230283025,1.767020862358877,23.713602528198116,-4.4226270674129085,0.15,1.3,True,1.4,9.84876901415896,1.8439334364700402
SS_BW0.20_RE1.10_VOL_1.4,chase,0.010827850507296954,-0.007166541253436409,12,118.37852621610949,110.15923465110947,3.104220111572392,54.17026951359279,-5.816841543296547,9.17993622092579,1.532755230548985,15.363685646194288,-22.508561135462273,0.2,1.1,True,1.4,9.312660334717176,1.5108893013215992
SS_BW0.20_RE1.20_VOL_1.4,chase,0.010827850507296954,-0.007166541253436409,12,118.37852621610949,110.15923465110947,3.104220111572392,54.17026951359279,-5.816841543296547,9.17993622092579,1.532755230548985,15.363685646194288,-22.508561135462273,0.2,1.2,True,1.4,9.312660334717176,1.5108893013215992
SS_BW0.20_RE1.30_VOL_1.4,chase,0.010827850507296954,-0.007166541253436409,12,118.37852621610949,110.15923465110947,3.104220111572392,54.17026951359279,-5.816841543296547,9.17993622092579,1.532755230548985,15.363685646194288,-22.508561135462273,0.2,1.3,True,1.4,9.312660334717176,1.5108893013215992
SS_BW0.25_RE1.10_VOL_1.4,chase,0.010277854175369416,-0.0077067467496061415,13,113.18218659702592,104.79911434702589,2.815907777636699,54.17026951359279,-5.77116941937525,8.061470334386607,1.3333078340437745,10.003565342110715,-20.98762640720616,0.25,1.1,True,1.4,9.386359258788996,1.3336177390148019
SS_BW0.25_RE1.20_VOL_1.4,chase,0.010277854175369416,-0.0077067467496061415,13,113.18218659702592,104.79911434702589,2.815907777636699,54.17026951359279,-5.77116941937525,8.061470334386607,1.3333078340437745,10.003565342110715,-20.98762640720616,0.25,1.2,True,1.4,9.386359258788996,1.3336177390148019
SS_BW0.25_RE1.30_VOL_1.4,chase,0.010277854175369416,-0.0077067467496061415,13,113.18218659702592,104.79911434702589,2.815907777636699,54.17026951359279,-5.77116941937525,8.061470334386607,1.3333078340437745,10.003565342110715,-20.98762640720616,0.25,1.3,True,1.4,9.386359258788996,1.3336177390148019
SS_BW0.15_RE1.10_VOL_1.6,chase,-0.008278033918831751,-0.009304994231184027,13,-77.566560158372,-80.787297063372,0.0,,-6.21440746641323,-6.21440746641323,-1.076087813677318,-77.7653332253924,-6.383641875577331,0.15,1.1,True,1.6,,-0.889633428367897
SS_BW0.15_RE1.20_VOL_1.6,chase,-0.008278033918831751,-0.009304994231184027,13,-77.566560158372,-80.787297063372,0.0,,-6.21440746641323,-6.21440746641323,-1.076087813677318,-77.7653332253924,-6.383641875577331,0.15,1.2,True,1.6,,-0.889633428367897
SS_BW0.15_RE1.30_VOL_1.6,chase,-0.008278033918831751,-0.009304994231184027,13,-77.566560158372,-80.787297063372,0.0,,-6.21440746641323,-6.21440746641323,-1.076087813677318,-77.7653332253924,-6.383641875577331,0.15,1.3,True,1.6,,-0.889633428367897
SS_BW0.20_RE1.10_VOL_1.6,chase,-0.009006556189005588,-0.010032762092880843,14,-84.30899491749346,-87.93691152749346,0.0,,-6.281207966249533,-6.281207966249533,-1.0768639834736027,-84.91494768951387,-20.749282065228577,0.2,1.1,True,1.6,,-0.8977145182577945
SS_BW0.20_RE1.20_VOL_1.6,chase,-0.009006556189005588,-0.010032762092880843,14,-84.30899491749346,-87.93691152749346,0.0,,-6.281207966249533,-6.281207966249533,-1.0768639834736027,-84.91494768951387,-20.749282065228577,0.2,1.2,True,1.6,,-0.8977145182577945
SS_BW0.20_RE1.30_VOL_1.6,chase,-0.009006556189005588,-0.010032762092880843,14,-84.30899491749346,-87.93691152749346,0.0,,-6.281207966249533,-6.281207966249533,-1.0768639834736027,-84.91494768951387,-20.749282065228577,0.2,1.3,True,1.6,,-0.8977145182577945
SS_BW0.25_RE1.10_VOL_1.6,chase,-0.010363886248295207,-0.011388686592800679,15,-97.14707826206012,-101.27171876706012,0.0,,-6.7514479178040085,-6.7514479178040085,-1.0756305509605861,-98.24975492908052,-19.469637080025453,0.25,1.1,True,1.6,,-0.910015932376847
SS_BW0.25_RE1.20_VOL_1.6,chase,-0.010363886248295207,-0.011388686592800679,15,-97.14707826206012,-101.27171876706012,0.0,,-6.7514479178040085,-6.7514479178040085,-1.0756305509605861,-98.24975492908052,-19.469637080025453,0.25,1.2,True,1.6,,-0.910015932376847
SS_BW0.25_RE1.30_VOL_1.6,chase,-0.010363886248295207,-0.011388686592800679,15,-97.14707826206012,-101.27171876706012,0.0,,-6.7514479178040085,-6.7514479178040085,-1.0756305509605861,-98.24975492908052,-19.469637080025453,0.25,1.3,True,1.6,,-0.910015932376847
