variant,entry_mode,return,max_drawdown,trade_count,gross_closed_pnl,net_closed_pnl,profit_factor,avg_winner,avg_loser,expectancy_per_trade,avg_R_realized,remove_best_trade_net,mfe_capture_ratio,breakout_lookback,range_expand_mult,stop_atr,trail_atr,winner_loser_ratio,return_over_dd
A_L15_RE1.3_S1.8_T2.0,chase,0.009992443185065092,-0.005201573622655498,22,111.31999563849382,103.46187186849383,2.0610661048458363,40.19386846459254,-5.73573355614523,4.702812357658811,0.9376880944680047,31.012725915029243,-1.95386566687602,15,1.3,1.8,2.0,7.007624756475844,1.9210423440981248
A_L15_RE1.3_S1.8_T2.4,chase,0.009992443185065092,-0.005201573622655498,22,111.31999563849382,103.46187186849383,2.0610661048458363,40.19386846459254,-5.73573355614523,4.702812357658811,0.9376880944680047,31.012725915029243,-1.95386566687602,15,1.3,1.8,2.4,7.007624756475844,1.9210423440981248
A_L15_RE1.3_S1.8_T2.8,chase,0.009992443185065092,-0.005201573622655498,22,111.31999563849382,103.46187186849383,2.0610661048458363,40.19386846459254,-5.73573355614523,4.702812357658811,0.9376880944680047,31.012725915029243,-1.95386566687602,15,1.3,1.8,2.8,7.007624756475844,1.9210423440981248
A_L15_RE1.2_S1.6_T2.0,chase,0.008753819837613586,-0.0050227617140014,22,98.56424278754969,91.06926051754967,2.042862643104852,35.679097621637744,-5.136836917096414,4.139511841706803,0.9290742376680431,26.750104497803772,-1.72390606417299,15,1.2,1.6,2.0,6.945732986556497,1.7428300078842134
A_L15_RE1.2_S1.6_T2.4,chase,0.008753819837613586,-0.0050227617140014,22,98.56424278754969,91.06926051754967,2.042862643104852,35.679097621637744,-5.136836917096414,4.139511841706803,0.9290742376680431,26.750104497803772,-1.72390606417299,15,1.2,1.6,2.4,6.945732986556497,1.7428300078842134
A_L15_RE1.2_S1.6_T2.8,chase,0.008753819837613586,-0.0050227617140014,22,98.56424278754969,91.06926051754967,2.042862643104852,35.679097621637744,-5.136836917096414,4.139511841706803,0.9290742376680431,26.750104497803772,-1.72390606417299,15,1.2,1.6,2.8,6.945732986556497,1.7428300078842134
A_L15_RE1.3_S1.6_T2.0,chase,0.008753819837613586,-0.0050227617140014,22,98.56424278754969,91.06926051754967,2.042862643104852,35.679097621637744,-5.136836917096414,4.139511841706803,0.9290742376680431,26.750104497803772,-1.72390606417299,15,1.3,1.6,2.0,6.945732986556497,1.7428300078842134
A_L15_RE1.3_S1.6_T2.4,chase,0.008753819837613586,-0.0050227617140014,22,98.56424278754969,91.06926051754967,2.042862643104852,35.679097621637744,-5.136836917096414,4.139511841706803,0.9290742376680431,26.750104497803772,-1.72390606417299,15,1.3,1.6,2.4,6.945732986556497,1.7428300078842134
A_L15_RE1.3_S1.6_T2.8,chase,0.008753819837613586,-0.0050227617140014,22,98.56424278754969,91.06926051754967,2.042862643104852,35.679097621637744,-5.136836917096414,4.139511841706803,0.9290742376680431,26.750104497803772,-1.72390606417299,15,1.3,1.6,2.8,6.945732986556497,1.7428300078842134
A_L20_RE1.2_S1.8_T2.0,chase,0.007966461843363248,-0.004436775279754501,20,89.97981803267106,82.85812181267107,1.9174236472338009,43.29355434864489,-5.644755973869281,4.142906090633554,0.6926709048731322,10.408975859206478,-12.090298190652552,20,1.2,1.8,2.0,7.6696945889352035,1.7955522515902709
A_L20_RE1.2_S1.8_T2.4,chase,0.007966461843363248,-0.004436775279754501,20,89.97981803267106,82.85812181267107,1.9174236472338009,43.29355434864489,-5.644755973869281,4.142906090633554,0.6926709048731322,10.408975859206478,-12.090298190652552,20,1.2,1.8,2.4,7.6696945889352035,1.7955522515902709
A_L20_RE1.2_S1.8_T2.8,chase,0.007966461843363248,-0.004436775279754501,20,89.97981803267106,82.85812181267107,1.9174236472338009,43.29355434864489,-5.644755973869281,4.142906090633554,0.6926709048731322,10.408975859206478,-12.090298190652552,20,1.2,1.8,2.8,7.6696945889352035,1.7955522515902709
A_L20_RE1.3_S1.8_T2.0,chase,0.007966461843363248,-0.004436775279754501,20,89.97981803267106,82.85812181267107,1.9174236472338009,43.29355434864489,-5.644755973869281,4.142906090633554,0.6926709048731322,10.408975859206478,-12.090298190652552,20,1.3,1.8,2.0,7.6696945889352035,1.7955522515902709
A_L20_RE1.3_S1.8_T2.4,chase,0.007966461843363248,-0.004436775279754501,20,89.97981803267106,82.85812181267107,1.9174236472338009,43.29355434864489,-5.644755973869281,4.142906090633554,0.6926709048731322,10.408975859206478,-12.090298190652552,20,1.3,1.8,2.4,7.6696945889352035,1.7955522515902709
A_L20_RE1.3_S1.8_T2.8,chase,0.007966461843363248,-0.004436775279754501,20,89.97981803267106,82.85812181267107,1.9174236472338009,43.29355434864489,-5.644755973869281,4.142906090633554,0.6926709048731322,10.408975859206478,-12.090298190652552,20,1.3,1.8,2.8,7.6696945889352035,1.7955522515902709
A_L25_RE1.2_S1.8_T2.0,chase,0.007966461843363248,-0.004436775279754501,20,89.97981803267106,82.85812181267107,1.9174236472338009,43.29355434864489,-5.644755973869281,4.142906090633554,0.6926709048731322,10.408975859206478,-12.090298190652552,25,1.2,1.8,2.0,7.6696945889352035,1.7955522515902709
A_L25_RE1.2_S1.8_T2.4,chase,0.007966461843363248,-0.004436775279754501,20,89.97981803267106,82.85812181267107,1.9174236472338009,43.29355434864489,-5.644755973869281,4.142906090633554,0.6926709048731322,10.408975859206478,-12.090298190652552,25,1.2,1.8,2.4,7.6696945889352035,1.7955522515902709
