variant,entry_mode,return,max_drawdown,trade_count,gross_closed_pnl,net_closed_pnl,profit_factor,avg_winner,avg_loser,expectancy_per_trade,avg_R_realized,remove_best_trade_net,mfe_capture_ratio,squeeze_bw_q,squeeze_atr_q,range_pos_threshold,take_R,trail_start_R,winner_loser_ratio,return_over_dd
PP_BW0.25_AQ0.35_RP0.60_TK10_TS2.0,chase,0.014570498231244011,-0.0105641328023649,22,160.2991228939283,149.4409788839283,2.1964292123454863,54.869360954283025,-7.3474015227933425,6.792771767451286,1.1778223278867406,48.59071041244977,-4.7984905457501,0.25,0.35,0.6,10.0,2.0,7.467859321974653,1.3792422439049838
PP_BW0.25_AQ0.35_RP0.65_TK10_TS1.2,chase,0.014570498231244011,-0.0105641328023649,22,160.2991228939283,149.4409788839283,2.1964292123454863,54.869360954283025,-7.3474015227933425,6.792771767451286,1.1778223278867406,48.59071041244977,-4.7984905457501,0.25,0.35,0.65,10.0,1.2,7.467859321974653,1.3792422439049838
PP_BW0.25_AQ0.35_RP0.65_TK10_TS1.6,chase,0.014570498231244011,-0.0105641328023649,22,160.2991228939283,149.4409788839283,2.1964292123454863,54.869360954283025,-7.3474015227933425,6.792771767451286,1.1778223278867406,48.59071041244977,-4.7984905457501,0.25,0.35,0.65,10.0,1.6,7.467859321974653,1.3792422439049838
PP_BW0.25_AQ0.35_RP0.65_TK10_TS2.0,chase,0.014570498231244011,-0.0105641328023649,22,160.2991228939283,149.4409788839283,2.1964292123454863,54.869360954283025,-7.3474015227933425,6.792771767451286,1.1778223278867406,48.59071041244977,-4.7984905457501,0.25,0.35,0.65,10.0,2.0,7.467859321974653,1.3792422439049838
PP_BW0.30_AQ0.30_RP0.55_TK10_TS1.2,chase,0.014570498231244011,-0.0105641328023649,22,160.2991228939283,149.4409788839283,2.1964292123454863,54.869360954283025,-7.3474015227933425,6.792771767451286,1.1778223278867406,48.59071041244977,-4.7984905457501,0.3,0.3,0.55,10.0,1.2,7.467859321974653,1.3792422439049838
PP_BW0.30_AQ0.30_RP0.55_TK10_TS1.6,chase,0.014570498231244011,-0.0105641328023649,22,160.2991228939283,149.4409788839283,2.1964292123454863,54.869360954283025,-7.3474015227933425,6.792771767451286,1.1778223278867406,48.59071041244977,-4.7984905457501,0.3,0.3,0.55,10.0,1.6,7.467859321974653,1.3792422439049838
PP_BW0.30_AQ0.30_RP0.55_TK10_TS2.0,chase,0.014570498231244011,-0.0105641328023649,22,160.2991228939283,149.4409788839283,2.1964292123454863,54.869360954283025,-7.3474015227933425,6.792771767451286,1.1778223278867406,48.59071041244977,-4.7984905457501,0.3,0.3,0.55,10.0,2.0,7.467859321974653,1.3792422439049838
PP_BW0.30_AQ0.30_RP0.60_TK10_TS1.2,chase,0.014570498231244011,-0.0105641328023649,22,160.2991228939283,149.4409788839283,2.1964292123454863,54.869360954283025,-7.3474015227933425,6.792771767451286,1.1778223278867406,48.59071041244977,-4.7984905457501,0.3,0.3,0.6,10.0,1.2,7.467859321974653,1.3792422439049838
PP_BW0.30_AQ0.30_RP0.60_TK10_TS1.6,chase,0.014570498231244011,-0.0105641328023649,22,160.2991228939283,149.4409788839283,2.1964292123454863,54.869360954283025,-7.3474015227933425,6.792771767451286,1.1778223278867406,48.59071041244977,-4.7984905457501,0.3,0.3,0.6,10.0,1.6,7.467859321974653,1.3792422439049838
PP_BW0.30_AQ0.30_RP0.60_TK10_TS2.0,chase,0.014570498231244011,-0.0105641328023649,22,160.2991228939283,149.4409788839283,2.1964292123454863,54.869360954283025,-7.3474015227933425,6.792771767451286,1.1778223278867406,48.59071041244977,-4.7984905457501,0.3,0.3,0.6,10.0,2.0,7.467859321974653,1.3792422439049838
PP_BW0.30_AQ0.30_RP0.65_TK10_TS1.2,chase,0.014570498231244011,-0.0105641328023649,22,160.2991228939283,149.4409788839283,2.1964292123454863,54.869360954283025,-7.3474015227933425,6.792771767451286,1.1778223278867406,48.59071041244977,-4.7984905457501,0.3,0.3,0.65,10.0,1.2,7.467859321974653,1.3792422439049838
PP_BW0.30_AQ0.30_RP0.65_TK10_TS1.6,chase,0.014570498231244011,-0.0105641328023649,22,160.2991228939283,149.4409788839283,2.1964292123454863,54.869360954283025,-7.3474015227933425,6.792771767451286,1.1778223278867406,48.59071041244977,-4.7984905457501,0.3,0.3,0.65,10.0,1.6,7.467859321974653,1.3792422439049838
PP_BW0.30_AQ0.30_RP0.65_TK10_TS2.0,chase,0.014570498231244011,-0.0105641328023649,22,160.2991228939283,149.4409788839283,2.1964292123454863,54.869360954283025,-7.3474015227933425,6.792771767451286,1.1778223278867406,48.59071041244977,-4.7984905457501,0.3,0.3,0.65,10.0,2.0,7.467859321974653,1.3792422439049838
PP_BW0.30_AQ0.35_RP0.55_TK10_TS1.2,chase,0.014271996848382429,-0.010567218888595242,22,157.565999963843,146.44830534884304,2.1450353679677114,54.869360954283025,-7.523441142504242,6.656741152220138,1.177334755124998,45.598036877364486,-4.7584476203605375,0.3,0.35,0.55,10.0,1.2,7.293120251090219,1.3505915793781464
