variant,entry_mode,return,max_drawdown,trade_count,gross_closed_pnl,net_closed_pnl,profit_factor,avg_winner,avg_loser,expectancy_per_trade,avg_R_realized,remove_best_trade_net,mfe_capture_ratio,take_R,trail_atr,stop_atr,breakout_lookback,winner_loser_ratio,return_over_dd
PC_TK14_TR2.8_ST2.4_BL15,chase,0.02859777448964973,-0.005924247577496766,15,299.87541210758457,288.70184772258455,4.61243568435762,73.72414741343268,-7.991888934457883,19.246789848172302,2.6161047639989996,118.87003656450067,-2.4201290091396572,14.0,2.8,2.4,15,9.22487136871524,4.827241622763754
PC_TK16_TR2.0_ST2.2_BL12,chase,0.028241257350468674,-0.005796531594329357,15,296.77333467706325,285.1351252920633,4.871538875820696,71.75683325291874,-7.364904097253051,19.009008352804223,2.4960913980244026,107.18042995026104,-2.2578333386017673,16.0,2.0,2.2,12,9.743077751641392,4.872095819868659
PC_TK16_TR2.0_ST2.2_BL15,chase,0.028241257350468674,-0.005796531594329357,15,296.77333467706325,285.1351252920633,4.871538875820696,71.75683325291874,-7.364904097253051,19.009008352804223,2.4960913980244026,107.18042995026104,-2.2578333386017673,16.0,2.0,2.2,15,9.743077751641392,4.872095819868659
PC_TK16_TR2.4_ST2.2_BL12,chase,0.028241257350468674,-0.005796531594329357,15,296.77333467706325,285.1351252920633,4.871538875820696,71.75683325291874,-7.364904097253051,19.009008352804223,2.4960913980244026,107.18042995026104,-2.2578333386017673,16.0,2.4,2.2,12,9.743077751641392,4.872095819868659
PC_TK16_TR2.4_ST2.2_BL15,chase,0.028241257350468674,-0.005796531594329357,15,296.77333467706325,285.1351252920633,4.871538875820696,71.75683325291874,-7.364904097253051,19.009008352804223,2.4960913980244026,107.18042995026104,-2.2578333386017673,16.0,2.4,2.2,15,9.743077751641392,4.872095819868659
PC_TK16_TR2.8_ST2.2_BL12,chase,0.028241257350468674,-0.005796531594329357,15,296.77333467706325,285.1351252920633,4.871538875820696,71.75683325291874,-7.364904097253051,19.009008352804223,2.4960913980244026,107.18042995026104,-2.2578333386017673,16.0,2.8,2.2,12,9.743077751641392,4.872095819868659
PC_TK16_TR2.8_ST2.2_BL15,chase,0.028241257350468674,-0.005796531594329357,15,296.77333467706325,285.1351252920633,4.871538875820696,71.75683325291874,-7.364904097253051,19.009008352804223,2.4960913980244026,107.18042995026104,-2.2578333386017673,16.0,2.8,2.2,15,9.743077751641392,4.872095819868659
PC_TK16_TR2.0_ST2.0_BL12,chase,0.028086644042903286,-0.005690060906130556,16,294.90041887850043,283.50087350850043,5.016998964777275,70.81523303227743,-6.4159356048078875,17.718804594281277,2.8485552485295136,121.79905228413477,-1.8731283467912507,16.0,2.0,2.0,12,11.037397722510006,4.9360884718549
PC_TK16_TR2.0_ST2.0_BL15,chase,0.028086644042903286,-0.005690060906130556,16,294.90041887850043,283.50087350850043,5.016998964777275,70.81523303227743,-6.4159356048078875,17.718804594281277,2.8485552485295136,121.79905228413477,-1.8731283467912507,16.0,2.0,2.0,15,11.037397722510006,4.9360884718549
PC_TK16_TR2.4_ST2.0_BL12,chase,0.028086644042903286,-0.005690060906130556,16,294.90041887850043,283.50087350850043,5.016998964777275,70.81523303227743,-6.4159356048078875,17.718804594281277,2.8485552485295136,121.79905228413477,-1.8731283467912507,16.0,2.4,2.0,12,11.037397722510006,4.9360884718549
